X,Y,ESTACAO,TIPO_ESTAC,TEMA,UF,MUNICIPIO,GEOCODIGO,SITUACAO,VISITA,LATITUDE,LONGITUDE,FONTECOORD,DATUM_PLAN,CONEX_GPS,CONEX_RN,CONEX_EG,ALTGEOM,FONTALTGEO,MEDICAOPLA,DATCALCPLA,ALT_ORTO,ALT_NORMAL,SIGMALT_RN,NUM_GEOPOT,DATUM_ALT,FONT_ALT,MEDICAOALT,CALCULOALT,GRAVIDADE,MEDICAOGRA,CALCULOGRA,NOTA,icon_url
-43.0119444444,-22.8177777778,1009J,R,RN,RJ,São Gonçalo,"3304904",NÃO ENCONTRADO,15/08/2018,-22.817777777800000,-43.011944444400001,Carta 1:50000,SIRGAS2000,,,,,,1970/10/14,,,"12,5663","0,073","123,000",Imbituba,Nivelamento Geométrico,1970/10/14,2018/07/30,,,,,./0.png
-43.0222222222,-22.8158333333,1009L,R,RN,RJ,São Gonçalo,"3304904",NÃO ENCONTRADO,15/08/2018,-22.815833333299999,-43.022222222200000,Não Especificada,SIRGAS2000,,,"8111764",,,1970/10/14,,,"16,7867","0,073","164,309",Imbituba,Nivelamento Geométrico,1970/10/14,2018/07/30,"978.776,55",26/05/1999,22/11/2011,,./0.png
-43.0222222222,-22.8158333333,"8111764",E,EG,RJ,São Gonçalo,"3304904",NÃO ENCONTRADO,15/08/2018,-22.815833333299999,-43.022222222200000,Não Especificada,SIRGAS2000,,1009L,,,,1970/10/14,,,"16,7867","0,073","164,309",Imbituba,Nivelamento Geométrico,1970/10/14,2018/07/30,"978.776,55",26/05/1999,22/11/2011,,./0.png
-43.0489222222,-22.8247916667,1009M,R,RN,RJ,São Gonçalo,"3304904",NÃO ENCONTRADO,15/08/2018,-22.824791666700001,-43.048922222199998,GPS Navegação,SIRGAS2000,,,,,,2018/08/15,,,"11,0724","0,073","108,378",Imbituba,Nivelamento Geométrico,1970/10/16,2018/07/30,,,,,./0.png
-43.0754444444,-22.8333416667,1009N,R,RN,RJ,São Gonçalo,"3304904",NÃO ENCONTRADO,15/08/2018,-22.833341666700001,-43.075444444399999,GPS Navegação,SIRGAS2000,,,,,,2018/08/15,,,"14,5468","0,073","142,385",Imbituba,Nivelamento Geométrico,1970/10/19,2018/07/30,,,,,./0.png
-43.0872222222,-22.8380555556,1009P,R,RN,RJ,São Gonçalo,"3304904",BOM,03/05/2006,-22.838055555600000,-43.087222222199998,GPS Navegação,SIRGAS2000,,,,,,2006/05/03,,,"25,1328","0,073","246,002",Imbituba,Nivelamento Geométrico,1971/03/17,2018/07/30,,,,,./0.png
-43.0902777778,-22.8636111111,1009R,R,RN,RJ,Niterói,"3303302",NÃO ENCONTRADO,15/08/2018,-22.863611111099999,-43.090277777799997,Carta 1:50000,SIRGAS2000,,,,,,1970/10/27,,,"2,4633","0,073","24,111",Imbituba,Nivelamento Geométrico,1970/10/27,2018/07/30,,,,,./0.png
-43.115,-22.8836111111,1009S,R,RN,RJ,Niterói,"3303302",BOM,23/04/2019,-22.883611111099999,-43.115000000000002,GPS Navegação,SIRGAS2000,,,"8111745",,,2018/08/15,,,"4,2316","0,075","41,419",Imbituba,Nivelamento Geométrico,2019/04/23,2019/12/04,"978.786,61",16/10/1998,22/11/2011,,./0.png
-43.115,-22.8836111111,"8111745",E,EG,RJ,Niterói,"3303302",BOM,23/04/2019,-22.883611111099999,-43.115000000000002,GPS Navegação,SIRGAS2000,,1009S,,,,2018/08/15,,,"4,2316","0,075","41,419",Imbituba,Nivelamento Geométrico,2019/04/23,2019/12/04,"978.786,61",16/10/1998,22/11/2011,,./0.png
-43.1091666667,-22.8813888889,1009T,R,RN,RJ,Niterói,"3303302",BOM,30/10/2019,-22.881388888899998,-43.109166666699998,GPS Navegação,SIRGAS2000,,,"8126386",,,2019/10/30,,,"6,6145","0,075","64,744",Imbituba,Nivelamento Geométrico,2019/04/12,2019/12/04,"978.785,31",30/10/2019,12/12/2019,,./0.png
-43.1091666667,-22.8813888889,"8126386",E,EG,RJ,Niterói,"3303302",BOM,30/10/2019,-22.881388888899998,-43.109166666699998,GPS Navegação,SIRGAS2000,,1009T,,,,2019/10/30,,,"6,6145","0,075","64,744",Imbituba,Nivelamento Geométrico,2019/04/12,2019/12/04,"978.785,31",30/10/2019,12/12/2019,,./0.png
-43.0908333333,-22.8811111111,1009U,R,RN,RJ,Niterói,"3303302",NÃO ENCONTRADO,10/08/2018,-22.881111111100001,-43.090833333299997,GPS Navegação,SIRGAS2000,,,,,,2006/04/13,,,"13,5777",,"132,900",Imbituba,Nivelamento Geométrico,1970/11/12,2018/07/30,,,,"Esta RN pertence a um ramal, isto é, uma linha de nivelamento geométrico que não forma circuito, cujos desníveis, portanto, não podem ser ajustados. Consequentemente, as respectivas altitudes são calculadas mediante simples transporte, sem as estimativas",./0.png
-43.1238888889,-22.8855555556,1009V,R,RN,RJ,Niterói,"3303302",BOM,30/10/2019,-22.885555555600000,-43.123888888899998,GPS Navegação,SIRGAS2000,,,"8126373",,,2019/10/30,,,"4,1733","0,075","40,849",Imbituba,Nivelamento Geométrico,2019/04/23,2019/12/04,"978.787,25",30/10/2019,12/12/2019,,./0.png
-43.1238888889,-22.8855555556,"8126373",E,EG,RJ,Niterói,"3303302",BOM,30/10/2019,-22.885555555600000,-43.123888888899998,GPS Navegação,SIRGAS2000,,1009V,,,,2019/10/30,,,"4,1733","0,075","40,849",Imbituba,Nivelamento Geométrico,2019/04/23,2019/12/04,"978.787,25",30/10/2019,12/12/2019,,./0.png
-43.1238888889,-22.8961111111,1009X,R,RN,RJ,Niterói,"3303302",NÃO ENCONTRADO,13/08/2018,-22.896111111100002,-43.123888888899998,Carta 1:50000,SIRGAS2000,,,,,,1970/11/18,,,"27,4908","0,073","269,083",Imbituba,Nivelamento Geométrico,1970/11/18,2018/07/30,,,,,./0.png
-43.1302777778,-22.8994444444,1009Z,R,RN,RJ,Niterói,"3303302",BOM,20/08/2009,-22.899444444400000,-43.130277777800003,GPS Navegação,SIRGAS2000,,,"8111740",,,2006/04/12,,,"3,9839","0,073","38,995",Imbituba,Nivelamento Geométrico,1995/06/07,2018/07/30,"978.789,97",15/10/1998,22/11/2011,,./0.png
-43.1302777778,-22.8994444444,"8111740",E,EG,RJ,Niterói,"3303302",BOM,20/08/2009,-22.899444444400000,-43.130277777800003,GPS Navegação,SIRGAS2000,,1009Z,,,,2006/04/12,,,"3,9839","0,073","38,995",Imbituba,Nivelamento Geométrico,1995/06/07,2018/07/30,"978.789,97",15/10/1998,22/11/2011,,./0.png
-42.1858095036,-22.8469855753,1013A,R,RN,RJ,São Pedro da Aldeia,"3305208",BOM,06/07/2018,-22.846985575300000,-42.185809503599998,GPS Geodésico,SIRGAS2000,"91969",,"8113225","-0,042",GPS Geodésico,2001/08/15,2004/11/23,,"6,1169","0,074","59,873",Imbituba,Nivelamento Geométrico,2018/07/06,2019/12/04,"978.811,59",19/11/2002,22/11/2011,,./0.png
-42.1858095036,-22.8469855753,"91969",G,GPS,RJ,São Pedro da Aldeia,"3305208",BOM,06/07/2018,-22.846985575300000,-42.185809503599998,GPS Geodésico,SIRGAS2000,,1013A,"8113225","-0,042",GPS Geodésico,2001/08/15,2004/11/23,,"6,1169","0,074","59,873",Imbituba,Nivelamento Geométrico,2018/07/06,2019/12/04,"978.811,59",19/11/2002,22/11/2011,,./0.png
-42.1858095036,-22.8469855753,"8113225",E,EG,RJ,São Pedro da Aldeia,"3305208",BOM,06/07/2018,-22.846985575300000,-42.185809503599998,GPS Geodésico,SIRGAS2000,"91969",1013A,,"-0,042",GPS Geodésico,2001/08/15,2004/11/23,,"6,1169","0,074","59,873",Imbituba,Nivelamento Geométrico,2018/07/06,2019/12/04,"978.811,59",19/11/2002,22/11/2011,,./0.png
-42.1566666667,-22.8447222222,1013B,R,RN,RJ,São Pedro da Aldeia,"3305208",NÃO ENCONTRADO,06/06/2017,-22.844722222200001,-42.156666666699998,Carta 1:50000,SIRGAS2000,,,,,,1971/05/08,,,"8,3411","0,073","81,644",Imbituba,Nivelamento Geométrico,1971/05/08,2018/07/30,,,,,./0.png
-42.1344444444,-22.8344444444,1013C,R,RN,RJ,São Pedro da Aldeia,"3305208",NÃO ENCONTRADO,06/06/2017,-22.834444444399999,-42.134444444400003,Carta 1:50000,SIRGAS2000,,,,,,1971/05/10,,,"5,5777","0,073","54,595",Imbituba,Nivelamento Geométrico,1971/05/10,2018/07/30,,,,,./0.png
-42.1155555556,-22.8269444444,1013D,R,RN,RJ,São Pedro da Aldeia,"3305208",NÃO ENCONTRADO,07/06/2017,-22.826944444399999,-42.115555555599997,Carta 1:50000,SIRGAS2000,,,,,,1971/05/11,,,"2,3446","0,073","22,949",Imbituba,Nivelamento Geométrico,1971/05/11,2018/07/30,,,,,./0.png
-42.0777777778,-22.8363888889,1013E,R,RN,RJ,São Pedro da Aldeia,"3305208",NÃO ENCONTRADO,28/06/2016,-22.836388888900000,-42.077777777800002,GPS Navegação,SIRGAS2000,,,,,,2009/08/20,,,"12,5032","0,073","122,382",Imbituba,Nivelamento Geométrico,1994/09/16,2018/07/30,,,,,./0.png
-42.0511111111,-22.8591666667,1013F,R,RN,RJ,São Pedro da Aldeia,"3305208",NÃO ENCONTRADO,20/08/2009,-22.859166666699998,-42.051111111099999,Carta 1:50000,SIRGAS2000,,,,,,1971/04/22,,,"4,5113","0,073","44,157",Imbituba,Nivelamento Geométrico,1971/04/22,2018/07/30,,,,,./0.png
-42.0516666667,-22.8813888889,1013G,R,RN,RJ,Cabo Frio,"3300704",NÃO ENCONTRADO,28/06/2016,-22.881388888899998,-42.051666666700001,Carta 1:50000,SIRGAS2000,,,,,,1994/10/05,,,"4,1897","0,073","41,009",Imbituba,Nivelamento Geométrico,1994/10/05,2018/07/30,,,,,./0.png
-42.0413888889,-22.8969444444,1013H,R,RN,RJ,Cabo Frio,"3300704",DESTRUÍDO,15/03/1997,-22.896944444399999,-42.041388888900002,Carta 1:50000,SIRGAS2000,,,,,,1994/09/20,,,"6,2625","0,073","61,298",Imbituba,Nivelamento Geométrico,1994/09/21,2018/07/30,,,,,./0.png
-42.0180555556,-22.8794444444,1013J,R,RN,RJ,Cabo Frio,"3300704",NÃO ENCONTRADO,28/06/2016,-22.879444444400001,-42.018055555600000,Carta 1:50000,SIRGAS2000,,,,,,1971/05/06,,,"4,7956","0,073","46,940",Imbituba,Nivelamento Geométrico,1971/05/06,2018/07/30,,,,,./0.png
-42.0130555556,-22.8772222222,1013L,R,RN,RJ,Cabo Frio,"3300704",BOM,06/10/2017,-22.877222222200000,-42.013055555599998,GPS Navegação,SIRGAS2000,,,"8113248",,,2017/10/26,,,"2,1776","0,074","21,315",Imbituba,Nivelamento Geométrico,2017/10/06,2019/12/04,"978.833,02",22/11/2002,22/11/2011,,./0.png
-42.0130555556,-22.8772222222,"8113248",E,EG,RJ,Cabo Frio,"3300704",BOM,06/10/2017,-22.877222222200000,-42.013055555599998,GPS Navegação,SIRGAS2000,,1013L,,,,2017/10/26,,,"2,1776","0,074","21,315",Imbituba,Nivelamento Geométrico,2017/10/06,2019/12/04,"978.833,02",22/11/2002,22/11/2011,,./0.png
-43.1575,-22.1644444444,1013M,R,RN,RJ,Três Rios,"3306008",NÃO ENCONTRADO,18/07/2011,-22.164444444400001,-43.157499999999999,Carta 1:50000,SIRGAS2000,,,,,,1971/06/09,,,"281,3392","0,072","2.753,536",Imbituba,Nivelamento Geométrico,1971/06/09,2018/07/30,,,,,./0.png
-43.1658333333,-22.1875,1013N,R,RN,RJ,Três Rios,"3306008",NÃO ENCONTRADO,18/07/2011,-22.187500000000000,-43.165833333300000,GPS Navegação,SIRGAS2000,,,,,,2009/09/14,,,"294,2873","0,072","2.880,261",Imbituba,Nivelamento Geométrico,1971/06/11,2018/07/30,,,,,./0.png
-43.1502777778,-22.2008333333,1013P,R,RN,RJ,Areal,"3300225",NÃO ENCONTRADO,18/07/2011,-22.200833333300000,-43.150277777800000,Carta 1:50000,SIRGAS2000,,,,,,1971/06/15,,,"335,2666","0,072","3.281,316",Imbituba,Nivelamento Geométrico,1971/06/15,2018/07/30,,,,,./0.png
-43.1208333333,-22.2266666667,1013R,R,RN,RJ,Areal,"3300225",NÃO ENCONTRADO,18/07/2011,-22.226666666700002,-43.120833333299998,Carta 1:50000,SIRGAS2000,,,,,,1971/08/23,,,"428,7436","0,072","4.196,138",Imbituba,Nivelamento Geométrico,1971/08/23,2018/07/30,,,,,./0.png
-43.1013888889,-22.2369444444,1013S,R,RN,RJ,Areal,"3300225",BOM,11/09/2017,-22.236944444399999,-43.101388888899997,GPS Navegação,SIRGAS2000,,,"8124377",,,2017/09/11,,,"445,0421","0,072","4.355,644",Imbituba,Nivelamento Geométrico,1971/06/24,2018/07/30,"978.627,18",11/09/2017,29/03/2019,,./0.png
-43.1013888889,-22.2369444444,"8124377",E,EG,RJ,Areal,"3300225",BOM,11/09/2017,-22.236944444399999,-43.101388888899997,GPS Navegação,SIRGAS2000,,1013S,,,,2017/09/11,,,"445,0421","0,072","4.355,644",Imbituba,Nivelamento Geométrico,1971/06/24,2018/07/30,"978.627,18",11/09/2017,29/03/2019,,./0.png
-43.0872222222,-22.2441666667,1013T,R,RN,RJ,Petrópolis,"3303906",DESTRUÍDO (SEM CHAPA),18/07/2011,-22.244166666700000,-43.087222222199998,Carta 1:50000,SIRGAS2000,,,,,,1971/06/25,,,"478,7737","0,072","4.685,754",Imbituba,Nivelamento Geométrico,1971/06/25,2018/07/30,,,,,./0.png
-43.0747222222,-22.2544444444,1013U,R,RN,RJ,Petrópolis,"3303906",NÃO ENCONTRADO,18/07/2011,-22.254444444400001,-43.074722222200002,Carta não Especificada,SIRGAS2000,,,,,,1971/06/23,,,"491,0133","0,072","4.805,537",Imbituba,Nivelamento Geométrico,1986/08/27,2018/07/30,,,,,./0.png
-43.0869444444,-22.2733333333,1013V,R,RN,RJ,Petrópolis,"3303906",NÃO ENCONTRADO,18/07/2011,-22.273333333299998,-43.086944444399997,GPS Navegação,SIRGAS2000,,,,,,2009/08/20,,,"531,5149","0,072","5.201,898",Imbituba,Nivelamento Geométrico,1971/06/24,2018/07/30,,,,,./0.png
-43.0927777778,-22.2861111111,1013X,R,RN,RJ,Petrópolis,"3303906",BOM,06/09/2017,-22.286111111099999,-43.092777777800002,GPS Navegação,SIRGAS2000,,,"8124349",,,2017/09/06,,,"586,2818","0,072","5.737,853",Imbituba,Nivelamento Geométrico,1971/06/09,2018/07/30,"978.597,88",06/09/2017,29/03/2019,,./0.png
-43.0927777778,-22.2861111111,"8124349",E,EG,RJ,Petrópolis,"3303906",BOM,06/09/2017,-22.286111111099999,-43.092777777800002,GPS Navegação,SIRGAS2000,,1013X,,,,2017/09/06,,,"586,2818","0,072","5.737,853",Imbituba,Nivelamento Geométrico,1971/06/09,2018/07/30,"978.597,88",06/09/2017,29/03/2019,,./0.png
-43.1113888889,-22.2908333333,1013Z,R,RN,RJ,Petrópolis,"3303906",NÃO ENCONTRADO,18/07/2011,-22.290833333300000,-43.111388888900002,GPS Navegação,SIRGAS2000,,,,,,2009/08/20,,,"617,2807","0,072","6.041,207",Imbituba,Nivelamento Geométrico,1971/06/11,2018/07/30,,,,,./0.png
-42.7586111111,-22.9,1010X,R,RN,RJ,Maricá,"3302700",NÃO ENCONTRADO,30/06/2017,-22.899999999999999,-42.758611111100002,Carta não Especificada,SIRGAS2000,,,,,,1971/02/05,,,"46,7378","0,075","457,473",Imbituba,Nivelamento Geométrico,1971/02/05,2018/07/30,,,,,./0.png
-42.0680555556,-21.1772222222,1027A,R,RN,RJ,Itaperuna,"3302205",BOM,22/06/2004,-21.177222222200001,-42.068055555599997,GPS Navegação,SIRGAS2000,,,,,,2000/10/31,,,"167,4463","0,073","1.638,765",Imbituba,Nivelamento Geométrico,2004/06/22,2018/07/30,,,,,./0.png
-42.0861111111,-21.1691666667,1027B,R,RN,RJ,Itaperuna,"3302205",NÃO ENCONTRADO,20/08/2009,-21.169166666700001,-42.086111111100003,Carta 1:50000,SIRGAS2000,,,,,,1972/09/04,,,"168,8345","0,073","1.652,350",Imbituba,Nivelamento Geométrico,1972/09/04,2018/07/30,,,,,./0.png
-42.1019444444,-21.1788888889,1027C,R,RN,RJ,Itaperuna,"3302205",DESTRUÍDO,20/08/2009,-21.178888888900001,-42.101944444399997,GPS Navegação,SIRGAS2000,,,,,,2000/10/31,,,"170,7171","0,074","1.670,775",Imbituba,Nivelamento Geométrico,2004/06/28,2018/07/30,,,,,./0.png
-42.1030555556,-21.1805555556,1027D,R,RN,RJ,Itaperuna,"3302205",DESTRUÍDO,15/02/2000,-21.180555555600002,-42.103055555600001,Carta 1:50000,SIRGAS2000,,,,,,1972/09/04,,,"170,0755","0,073","1.664,496",Imbituba,Nivelamento Geométrico,1972/09/04,2018/07/30,,,,,./0.png
-42.1125,-21.1925,1027E,R,RN,RJ,Itaperuna,"3302205",NÃO ENCONTRADO,20/08/2009,-21.192499999999999,-42.112499999999997,GPS Navegação,SIRGAS2000,,,,,,2000/10/31,,,"212,8219","0,073","2.082,835",Imbituba,Nivelamento Geométrico,1972/09/05,2018/07/30,,,,,./0.png
-42.7330555556,-22.9066666667,1010Z,R,RN,RJ,Maricá,"3302700",DESTRUÍDO (SEM CHAPA),30/06/2017,-22.906666666700001,-42.733055555599996,Carta não Especificada,SIRGAS2000,,,,,,1971/02/08,,,"5,6070","0,075","54,882",Imbituba,Nivelamento Geométrico,1971/02/08,2018/07/30,,,,,./0.png
-42.1244444444,-21.2044444444,1027F,R,RN,RJ,Laje do Muriaé,"3302304",BOM,20/08/2009,-21.204444444400000,-42.124444444399998,GPS Navegação,SIRGAS2000,,,,,,2009/08/20,,,"172,0253","0,073","1.683,581",Imbituba,Nivelamento Geométrico,1972/09/05,2018/07/30,,,,,./0.png
-42.1222222222,-21.2058333333,1027G,R,RN,RJ,Laje do Muriaé,"3302304",NÃO ENCONTRADO,20/08/2009,-21.205833333299999,-42.122222222200001,Carta 1:50000,SIRGAS2000,,,,,,1972/09/06,,,"168,5049","0,073","1.649,128",Imbituba,Nivelamento Geométrico,1972/09/06,2018/07/30,,,,,./0.png
-43.1902777778,-22.9777777778,1032V,R,RN,RJ,Rio de Janeiro,"3304557",DESTRUÍDO,06/12/2018,-22.977777777800000,-43.190277777799999,GPS Navegação,SIRGAS2000,,,,,,2018/12/06,,,"3,5739","0,072","34,982",Imbituba,Nivelamento Geométrico,1992/11/23,2018/07/30,,,,,./0.png
-43.0011111111,-22.4727777778,1005A,R,RN,RJ,Guapimirim,"3301850",NÃO ENCONTRADO,20/08/2009,-22.472777777800001,-43.001111111100002,Carta não Especificada,SIRGAS2000,,,,,,1970/07/22,,,"837,2876","0,072","8.194,185",Imbituba,Nivelamento Geométrico,1970/07/22,2018/07/30,,,,,./0.png
-42.9997222222,-22.4819444444,1005B,R,RN,RJ,Guapimirim,"3301850",NÃO ENCONTRADO,20/08/2009,-22.481944444400000,-42.999722222199999,Carta não Especificada,SIRGAS2000,,,,,,1970/07/23,,,"735,2803","0,072","7.196,002",Imbituba,Nivelamento Geométrico,1970/07/23,2018/07/30,,,,,./0.png
-42.9963888889,-22.4816666667,1005C,R,RN,RJ,Guapimirim,"3301850",NÃO ENCONTRADO,20/08/2009,-22.481666666700001,-42.996388888900000,Carta não Especificada,SIRGAS2000,,,,,,1971/05/25,,,"644,0731","0,072","6.303,471",Imbituba,Nivelamento Geométrico,1971/05/25,2018/07/30,,,,,./0.png
-42.7844444444,-22.5433333333,1006A,R,RN,RJ,Cachoeiras de Macacu,"3300803",BOM,15/08/1985,-22.543333333300001,-42.784444444400002,Carta 1:50000,SIRGAS2000,,,,,,1970/08/28,,,"23,1819","0,073","226,902",Imbituba,Nivelamento Geométrico,1970/08/28,2018/07/30,,,,,./0.png
-42.7669444444,-22.5363888889,1006B,R,RN,RJ,Cachoeiras de Macacu,"3300803",NÃO ENCONTRADO,10/09/2017,-22.536388888899999,-42.766944444400004,Carta 1:50000,SIRGAS2000,,,,,,1970/08/29,,,"32,2637","0,073","315,793",Imbituba,Nivelamento Geométrico,1970/08/29,2018/07/30,,,,,./0.png
-42.7408333333,-22.5275,1006C,R,RN,RJ,Cachoeiras de Macacu,"3300803",NÃO ENCONTRADO,10/09/2017,-22.527500000000000,-42.740833333300003,Carta 1:50000,SIRGAS2000,,,,,,1970/08/31,,,"28,1370","0,073","275,401",Imbituba,Nivelamento Geométrico,1970/08/31,2018/07/30,,,,,./0.png
-42.6919444444,-22.5122222222,1006E,R,RN,RJ,Cachoeiras de Macacu,"3300803",NÃO ENCONTRADO,20/08/2009,-22.512222222199998,-42.691944444400001,Carta não Especificada,SIRGAS2000,,,,,,1970/09/03,,,"35,8141","0,073","350,543",Imbituba,Nivelamento Geométrico,1970/09/03,2018/07/30,,,,,./0.png
-42.9902777778,-22.6661111111,1006F,R,RN,RJ,Guapimirim,"3301850",NÃO ENCONTRADO,20/08/2009,-22.666111111100001,-42.990277777800003,Carta 1:50000,SIRGAS2000,,,,,,1970/10/07,,,,,,,,,,,,,"O valor de altitude foi removido devido a Referência de Nível pertencer a uma linha que forma circuitos cujos erros de fechamento não atendem às especificações de alta precisão, nem mesmo de forma separada em relação ao bloco principal do REALT-2018.   P",./0.png
-42.6547222222,-22.4608333333,1006H,R,RN,RJ,Cachoeiras de Macacu,"3300803",NÃO ENCONTRADO,20/08/2009,-22.460833333299998,-42.654722222200000,Carta não Especificada,SIRGAS2000,,,,,,1970/09/14,,,,,,,,,,,,,"O valor de altitude foi removido devido a Referência de Nível pertencer a uma linha que forma circuitos cujos erros de fechamento não atendem às especificações de alta precisão, nem mesmo de forma separada em relação ao bloco principal do REALT-2018.   P",./0.png
-43.0105555556,-22.5786111111,1006J,R,RN,RJ,Guapimirim,"3301850",NÃO ENCONTRADO,20/08/2009,-22.578611111099999,-43.010555555600000,Carta não Especificada,SIRGAS2000,,,,,,1970/08/31,,,"19,3921","0,071","189,808",Imbituba,Nivelamento Geométrico,1970/08/31,2018/07/30,,,,,./0.png
